
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
22:23:51:3A:C0:89, 2025-08-28 22:55:15, 2025-08-28 22:55:24,  9, 360, WPA2, CCMP, PSK, -67,       19,        0,   0.  0.  0.  0,  26, The Stag and Hen Free WiFi, 
A0:14:3D:ED:92:14, 2025-08-28 22:55:15, 2025-08-28 22:55:24,  1,  65, OPN, ,   , -30,       23,       20, 192.168.  1.  1,  15, ardrone2_003419, 
18:7C:0B:23:0C:68, 2025-08-28 22:55:15, 2025-08-28 22:55:23,  1, 130, WPA2, CCMP, PSK, -85,        7,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:0C:68, 2025-08-28 22:55:15, 2025-08-28 22:55:23,  1, 130, WPA2, CCMP, PSK, -87,        7,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:0C:68, 2025-08-28 22:55:15, 2025-08-28 22:55:23,  1, 130, OPN, ,   , -88,        7,        0,   0.  0.  0.  0,  12, Glide_Signup, 
8E:49:62:48:4F:66, 2025-08-28 22:55:15, 2025-08-28 22:55:19,  1,  65, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,   0, , 
D8:47:32:3D:C7:FE, 2025-08-28 22:55:15, 2025-08-28 22:55:24,  2, 270, WPA2, CCMP, PSK, -71,       12,        0,   0.  0.  0.  0,  12, TP-Link_C7FE, 
20:23:51:CA:C0:89, 2025-08-28 22:55:15, 2025-08-28 22:55:24,  9, 360, WPA2, CCMP, PSK, -67,       18,        0,   0.  0.  0.  0,  13, The Stag WiFi, 
18:7C:0B:23:07:78, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 130, WPA2, CCMP, PSK, -80,        6,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:07:78, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 130, WPA2, CCMP, PSK, -79,        6,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:07:78, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 130, OPN, ,   , -79,        6,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:4C:6B:38, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 195, WPA2, CCMP, PSK, -59,        5,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6B:38, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 195, OPN, ,   , -58,        5,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6B:38, 2025-08-28 22:55:18, 2025-08-28 22:55:22, 11, 195, WPA2, CCMP, PSK, -57,        4,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:0C:69:B8, 2025-08-28 22:55:18, 2025-08-28 22:55:18,  6, 195, WPA2, CCMP, PSK, -57,        3,        0,   0.  0.  0.  0,  14, Glide_Resident, 
