
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:CA:97:07:7A:C8, 2025-08-04 21:39:39, 2025-08-04 21:39:57,  1, 130, WPA2, CCMP, PSK, -80,       38,        0,   0.  0.  0.  0,  14, Glide_Resident, 
70:CA:97:47:7A:C8, 2025-08-04 21:39:39, 2025-08-04 21:39:57,  1, 130, WPA2, CCMP, PSK, -80,       41,        0,   0.  0.  0.  0,   9, iQ_Office, 
70:CA:97:C7:7A:C8, 2025-08-04 21:39:39, 2025-08-04 21:39:57,  1, 130, OPN, ,   , -80,       42,        0,   0.  0.  0.  0,  12, Glide_Signup, 
A0:14:3D:ED:92:14, 2025-08-04 21:39:39, 2025-08-04 21:39:57,  6,  65, OPN, ,   , -46,       52,       32, 192.168.  1.  1,  15, ardrone2_003419, 
22:23:51:3A:C0:89, 2025-08-04 21:39:42, 2025-08-04 21:39:53,  9, 360, WPA2, CCMP, PSK, -91,        7,        0,   0.  0.  0.  0,  26, The Stag and Hen Free WiFi, 
E8:8F:6F:17:6E:AF, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, WPA2, CCMP, PSK, -98,        0,        0,   0.  0.  0.  0,  30, VodafoneMobileWiFi-6EAF_2.4GHz, 
18:7C:0B:23:10:A8, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, WPA2, CCMP, PSK, -61,        9,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:10:A8, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, WPA2, CCMP, PSK, -61,        9,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:10:A8, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, OPN, ,   , -61,       10,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:23:12:98, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, WPA2, CCMP, PSK, -74,        8,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:12:98, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, WPA2, CCMP, PSK, -73,        8,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:12:98, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 130, OPN, ,   , -74,        8,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6B:38, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, WPA2, CCMP, PSK, -64,        9,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:6B:38, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, WPA2, CCMP, PSK, -64,        9,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6B:38, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, OPN, ,   , -64,        9,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:68:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, WPA2, CCMP, PSK, -34,        8,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:68:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, WPA2, CCMP, PSK, -33,        9,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:68:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55, 11, 195, OPN, ,   , -34,        9,        0,   0.  0.  0.  0,  12, Glide_Signup, 
00:03:7F:BE:F1:17, 2025-08-04 21:39:43, 2025-08-04 21:39:43, 11,  65, WPA2, CCMP TKIP, PSK, -88,        1,        0,   0.  0.  0.  0,  11, RUT240_6B20, 
18:7C:0B:23:81:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -70,       11,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:81:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -70,       10,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:81:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, OPN, ,   , -70,       10,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:69:B8, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -59,       12,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:23:07:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -84,        7,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:07:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -84,        8,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:07:18, 2025-08-04 21:39:43, 2025-08-04 21:39:55,  6, 130, OPN, ,   , -84,        7,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:4C:72:08, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -80,        7,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:72:08, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, OPN, ,   , -80,        7,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:23:07:78, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -80,        7,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:07:78, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -80,        6,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:07:78, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, OPN, ,   , -80,        7,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6F:18, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -53,        7,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:6F:18, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -53,        7,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6F:18, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, OPN, ,   , -53,        7,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:23:0A:68, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -76,        8,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:0A:68, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -76,        8,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:0A:68, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, OPN, ,   , -76,        8,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:4C:69:B8, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -58,        9,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:69:B8, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, OPN, ,   , -59,       10,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:63:16:08, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 130, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:0C:72:08, 2025-08-04 21:39:44, 2025-08-04 21:39:55,  6, 195, WPA2, CCMP, PSK, -80,        6,        6,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:23:0C:C8, 2025-08-04 21:39:49, 2025-08-04 21:39:49, 11, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:E3:0C:C8, 2025-08-04 21:39:49, 2025-08-04 21:39:49, 11, 130, OPN, ,   , -80,        1,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:E3:16:08, 2025-08-04 21:39:49, 2025-08-04 21:39:55,  6, 130, OPN, ,   , -84,        3,        0,   0.  0.  0.  0,  12, Glide_Signup, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:1E:42:43:45:89, 2025-08-04 21:39:39, 2025-08-04 21:39:41, -81,        6, (not associated) ,WayCovCCTV
26:1A:06:CF:F8:49, 2025-08-04 21:39:39, 2025-08-04 21:39:39, -83,        2, (not associated) ,Glide_Resident
C2:28:AF:4A:AA:95, 2025-08-04 21:39:39, 2025-08-04 21:39:56, -33,       56, A0:14:3D:ED:92:14,
26:56:6D:6D:0B:94, 2025-08-04 21:39:40, 2025-08-04 21:39:40, -83,        1, (not associated) ,
DC:2C:6E:ED:58:6C, 2025-08-04 21:39:41, 2025-08-04 21:39:43, -95,        6, (not associated) ,zenobe-test
EA:1F:43:F2:82:1C, 2025-08-04 21:39:42, 2025-08-04 21:39:43, -51,        3, (not associated) ,
4A:BF:E0:38:7A:EB, 2025-08-04 21:39:42, 2025-08-04 21:39:43, -89,        4, (not associated) ,Glide_Resident
D0:37:45:0A:D0:15, 2025-08-04 21:39:43, 2025-08-04 21:39:44, -63,       14, (not associated) ,
16:9A:D1:FB:C8:7C, 2025-08-04 21:39:45, 2025-08-04 21:39:45, -49,        2, (not associated) ,
06:F8:CC:EA:1B:29, 2025-08-04 21:39:46, 2025-08-04 21:39:46, -53,        2, (not associated) ,
32:5A:45:F7:F3:E6, 2025-08-04 21:39:46, 2025-08-04 21:39:46, -63,        2, (not associated) ,
6E:5D:9A:09:FC:D7, 2025-08-04 21:39:46, 2025-08-04 21:39:46, -47,        2, (not associated) ,
56:AE:F8:0B:EC:96, 2025-08-04 21:39:47, 2025-08-04 21:39:48, -99,       13, (not associated) ,ASK4 Wireless
CA:18:EB:CF:6C:C3, 2025-08-04 21:39:48, 2025-08-04 21:39:48, -65,        2, (not associated) ,
