
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:A2:F4:2F:16:77, 2025-08-11 22:11:54, 2025-08-11 22:11:56,  6, 270, WPA2, CCMP, PSK, -70,        2,        0,   0.  0.  0.  0,   0, , 
18:7C:0B:23:10:A8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, WPA2, CCMP, PSK, -69,        3,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:0C:69:B8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -50,        2,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:69:B8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -50,        3,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:69:B8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -50,        3,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:63:10:A8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, WPA2, CCMP, PSK, -67,        2,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:10:A8, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, OPN, ,   , -69,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6A:98, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:6A:98, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6A:98, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -77,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
18:7C:0B:23:07:78, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  14, Glide_Resident, 
18:7C:0B:63:07:78, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,   9, iQ_Office, 
18:7C:0B:E3:07:78, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 130, OPN, ,   , -77,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:72:08, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -74,        2,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:72:08, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:72:08, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -73,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:68:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -37,        2,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:68:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -38,        2,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:68:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -39,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6F:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -57,        2,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:6F:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -57,        2,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6F:18, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -57,        2,        0,   0.  0.  0.  0,  12, Glide_Signup, 
4C:B1:CD:0C:6B:38, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -62,        1,        0,   0.  0.  0.  0,  14, Glide_Resident, 
4C:B1:CD:4C:6B:38, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,   9, iQ_Office, 
4C:B1:CD:CC:6B:38, 2025-08-11 22:11:54, 2025-08-11 22:11:54,  1, 195, OPN, ,   , -61,        1,        0,   0.  0.  0.  0,  12, Glide_Signup, 
22:23:51:3A:C0:89, 2025-08-11 22:11:54, 2025-08-11 22:11:56,  9, 360, WPA2, CCMP, PSK, -64,        5,        0,   0.  0.  0.  0,  26, The Stag and Hen Free WiFi, 
20:23:51:CA:C0:89, 2025-08-11 22:11:55, 2025-08-11 22:11:56,  9, 360, WPA2, CCMP, PSK, -83,        3,        7,   0.  0.  0.  0,  13, The Stag WiFi, 
4E:EB:B5:9C:F6:E2, 2025-08-11 22:11:55, 2025-08-11 22:11:56, 11, 360, WPA2, CCMP, PSK, -67,        2,        0,   0.  0.  0.  0,  17, Danny's S25 Ultra, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
9E:A2:F4:0F:16:77, 2025-08-11 22:11:55, 2025-08-11 22:11:56, -67,        2, (not associated) ,WayCovCCTV
6C:1D:EB:43:19:76, 2025-08-11 22:11:56, 2025-08-11 22:11:56, -69,        8, (not associated) ,
DC:2C:6E:09:0A:39, 2025-08-11 22:11:56, 2025-08-11 22:11:56, -71,        2, (not associated) ,zenobe-test

